image_id,labels,human
img256.jpg,l16 l18 l23 l25 l73,"['traffic sign', 'stairs', 'street', 'graffiti', 'house']"
img98.jpg,l0 l24 l26 l39,"['people', 'town hall of tartu', 'estonian flag', 'flags']"
img147.jpg,l16 l3,"['traffic sign', 'building']"
img254.jpg,l2 l25 l29,"['grass', 'graffiti', 'wall']"
img160.jpg,l0 l32 l38 l40 l6,"['people', 'blue sky', 'barge', 'emajõe-peipsi barge jõmmu', 'water']"
img55.jpg,l3 l9,"['building', 'cars']"
img202.jpg,l0 l1 l2 l20 l6 l49,"['people', 'trees', 'grass', 'bridge', 'water', 'river']"
img214.jpg,l1 l20 l5 l6 l49,"['trees', 'bridge', 'buildings', 'water', 'river']"
img119.jpg,l11 l3 l39 l45,"['bicycle', 'building', 'flags', 'cloudy']"
img201.jpg,l1 l10 l19 l6,"['trees', 'nature', 'clouds', 'water']"
img203.jpg,l1 l5 l6 l49,"['trees', 'buildings', 'water', 'river']"
img80.jpg,l2 l62,"['grass', 'child']"
img127.jpg,l0 l2 l54 l6,"['people', 'grass', 'beach', 'water']"
img205.jpg,l0 l2 l6,"['people', 'grass', 'water']"
img204.jpg,l1 l10 l20 l5 l6 l61 l49,"['trees', 'nature', 'bridge', 'buildings', 'water', 'boat', 'river']"
img87.jpg,l60 l75,"['wedding', 'hands']"
img159.jpg,l0 l38 l40 l6,"['people', 'barge', 'emajõe-peipsi barge jõmmu', 'water']"
img47.jpg,l0 l16 l3 l45 l67 l7 l9,"['people', 'traffic sign', 'building', 'cloudy', 'traffic', 'road', 'cars']"
img20.jpg,l18 l27 l3,"['stairs', 'tree', 'building']"
img12.jpg,l53 l91,"['green garbage can', 'pole']"
img227.jpg,l1 l3,"['trees', 'building']"
img45.jpg,l0 l1 l16 l2 l3 l62 l7,"['people', 'trees', 'traffic sign', 'grass', 'building', 'child', 'road']"
img283.jpg,l68 l77 l78 l8,"['suit', 'human', 'man', 'person']"
img154.jpg,l0 l14 l5 l7 l9,"['people', 'traffic signs', 'buildings', 'road', 'cars']"
img14.jpg,l3 l4,"['building', 'snow']"
img219.jpg,l1 l36 l47 l5 l6,"['trees', 'yellow leaves', 'autumn', 'buildings', 'water']"
img99.jpg,l24 l26 l39,"['town hall of tartu', 'estonian flag', 'flags']"
img271.jpg,l84,['pencil']
img130.jpg,l44 l8,"['glasses', 'person']"
img10.jpg,l0 l1 l17 l4 l5 l7,"['people', 'trees', 'winter', 'snow', 'buildings', 'road']"
img146.jpg,l14 l2 l5 l9,"['traffic signs', 'grass', 'buildings', 'cars']"
img190.jpg,l56,['fence']
img28.jpg,l21 l35,"['stone road', 'dog']"
img1.jpg,l0 l17 l4 l58 l63 l79,"['people', 'winter', 'snow', 'worker', 'plane', 'cone']"
img85.jpg,l0 l13 l60 l75,"['people', 'flowers', 'wedding', 'hands']"
img246.jpg,l0 l1 l11,"['people', 'trees', 'bicycle']"
img51.jpg,l1 l3 l34 l52 l67 l7 l9,"['trees', 'building', 'sunny', 'red bus', 'traffic', 'road', 'cars']"
img216.jpg,l1 l11 l12 l2 l36 l47 l8,"['trees', 'bicycle', 'pavement', 'grass', 'yellow leaves', 'autumn', 'person']"
img53.jpg,l1 l15 l3 l34 l45 l52 l7,"['trees', 'lamp posts', 'building', 'sunny', 'cloudy', 'red bus', 'road']"
img200.jpg,l0 l10 l11 l43 l65 l7,"['people', 'nature', 'bicycle', 'lamp post', 'railroad', 'road']"
img236.jpg,l0 l13 l5,"['people', 'flowers', 'buildings']"
img264.jpg,l30 l70 l78 l8 l88,"['bench', 'leaves', 'man', 'person', 'book']"
img7.jpg,l0 l27 l3 l4 l81,"['people', 'tree', 'building', 'snow', 'suitcase']"
img179.jpg,l0 l1 l30 l5,"['people', 'trees', 'bench', 'buildings']"
img196.jpg,l10 l2 l65,"['nature', 'grass', 'railroad']"
img153.jpg,l0 l14 l5 l7,"['people', 'traffic signs', 'buildings', 'road']"
img4.jpg,l17 l27 l3 l4 l7 l90,"['winter', 'tree', 'building', 'snow', 'road', 'flag']"
img101.jpg,l0 l24 l26 l39 l41 l5,"['people', 'town hall of tartu', 'estonian flag', 'flags', 'drone photography', 'buildings']"
img291.jpg,l0 l12 l61 l62 l7,"['people', 'pavement', 'boat', 'child', 'road']"
img298.jpg,l28 l3 l48 l6,"['the sculpture of kissing students', 'building', 'fountain', 'water']"
img92.jpg,l0 l19 l20 l41 l9,"['people', 'clouds', 'bridge', 'drone photography', 'cars']"
img276.jpg,l0 l28 l5,"['people', 'the sculpture of kissing students', 'buildings']"
img2.jpg,l0 l17 l27 l4 l58 l63 l79,"['people', 'winter', 'tree', 'snow', 'worker', 'plane', 'cone']"
img111.jpg,l0 l10 l13,"['people', 'nature', 'flowers']"
img233.jpg,l1 l3 l4 l42 l9,"['trees', 'building', 'snow', 'tractor', 'cars']"
img86.jpg,l13 l60 l75,"['flowers', 'wedding', 'hands']"
img38.jpg,l35 l4 l85,"['dog', 'snow', 'stroller']"
img56.jpg,l34,['sunny']
img100.jpg,l0 l1 l24 l26 l39 l41 l5,"['people', 'trees', 'town hall of tartu', 'estonian flag', 'flags', 'drone photography', 'buildings']"
img65.jpg,l0 l4 l80 l82,"['people', 'snow', 'lights', 'snow statue']"
img83.jpg,l0 l1 l10 l23 l5 l9,"['people', 'trees', 'nature', 'street', 'buildings', 'cars']"
img110.jpg,l10 l6,"['nature', 'water']"
img9.jpg,l0 l4 l58 l63 l81,"['people', 'snow', 'worker', 'plane', 'suitcase']"
img295.jpg,l28 l3 l48 l6,"['the sculpture of kissing students', 'building', 'fountain', 'water']"
img50.jpg,l0 l1 l20 l34 l49 l52 l61 l9,"['people', 'trees', 'bridge', 'sunny', 'river', 'red bus', 'boat', 'cars']"
img54.jpg,l3 l45,"['building', 'cloudy']"
img169.jpg,l0 l1 l19 l21 l3 l83,"['people', 'trees', 'clouds', 'stone road', 'building', 'table']"
img34.jpg,l21 l35 l55,"['stone road', 'dog', 'benches']"
img24.jpg,l1 l18 l2 l5 l55 l7 l71 l9,"['trees', 'stairs', 'grass', 'buildings', 'benches', 'road', 'stair railings', 'cars']"
img19.jpg,l1 l15 l18 l2 l21,"['trees', 'lamp posts', 'stairs', 'grass', 'stone road']"
img35.jpg,l0 l2 l4 l53 l56 l91,"['people', 'grass', 'snow', 'green garbage can', 'fence', 'pole']"
img229.jpg,l16 l23 l3 l4 l42 l69,"['traffic sign', 'street', 'building', 'snow', 'tractor', 'snow plow']"
img174.jpg,l0 l1 l4,"['people', 'trees', 'snow']"
img68.jpg,l0 l1 l41 l86,"['people', 'trees', 'drone photography', 'tents']"
img235.jpg,l10 l20 l8,"['nature', 'bridge', 'person']"
img66.jpg,l37 l4 l82,"['chain light', 'snow', 'snow statue']"
img220.jpg,l0 l24 l26 l28,"['people', 'town hall of tartu', 'estonian flag', 'the sculpture of kissing students']"
img149.jpg,l1 l12 l14 l15 l5 l7,"['trees', 'pavement', 'traffic signs', 'lamp posts', 'buildings', 'road']"
img215.jpg,l0 l1 l12 l33 l36 l47 l55,"['people', 'trees', 'pavement', 'children', 'yellow leaves', 'autumn', 'benches']"
img13.jpg,l3 l8,"['building', 'person']"
img272.jpg,l66 l8 l84,"['chair', 'person', 'pencil']"
img78.jpg,l2,['grass']
img193.jpg,l0 l2 l3 l33,"['people', 'grass', 'building', 'children']"
img293.jpg,l0 l33 l76,"['people', 'children', 'crosswalk']"
img63.jpg,l1 l17 l37 l4 l72,"['trees', 'winter', 'chain light', 'snow', 'sign']"
img286.jpg,l11 l2 l7,"['bicycle', 'grass', 'road']"
img186.jpg,l1 l20 l36 l47 l5 l50 l7,"['trees', 'bridge', 'yellow leaves', 'autumn', 'buildings', 'car', 'road']"
img239.jpg,l0 l1 l10 l2 l6,"['people', 'trees', 'nature', 'grass', 'water']"
img168.jpg,l0 l1 l21 l3 l83,"['people', 'trees', 'stone road', 'building', 'table']"
img31.jpg,l21 l35,"['stone road', 'dog']"
img112.jpg,l51,['plants']
img36.jpg,l1 l21 l64,"['trees', 'stone road', 'cat']"
img224.jpg,l1 l36 l70,"['trees', 'yellow leaves', 'leaves']"
img89.jpg,l0 l26 l62 l90,"['people', 'estonian flag', 'child', 'flag']"
img172.jpg,l1 l32 l4,"['trees', 'blue sky', 'snow']"
img76.jpg,l0 l57,"['people', 'performing']"
img157.jpg,l14 l19 l32 l50 l7 l56,"['traffic signs', 'clouds', 'blue sky', 'car', 'road', 'fence']"
img58.jpg,l1 l11 l17 l30 l4 l5 l50 l52,"['trees', 'bicycle', 'winter', 'bench', 'snow', 'buildings', 'car', 'red bus']"
img299.jpg,l28 l3 l48 l6,"['the sculpture of kissing students', 'building', 'fountain', 'water']"
img261.jpg,l89,['books']
img244.jpg,l0 l10 l11 l2 l8,"['people', 'nature', 'bicycle', 'grass', 'person']"
img25.jpg,l1 l18 l2 l3 l43 l7 l71,"['trees', 'stairs', 'grass', 'building', 'lamp post', 'road', 'stair railings']"
img16.jpg,l1 l53 l6 l91,"['trees', 'green garbage can', 'water', 'pole']"
img188.jpg,l1 l20 l32 l6,"['trees', 'bridge', 'blue sky', 'water']"
img138.jpg,l1 l4 l59,"['trees', 'snow', 'park']"
img44.jpg,l21 l76,"['stone road', 'crosswalk']"
img277.jpg,l4 l8,"['snow', 'person']"
img267.jpg,l1 l41 l5 l9,"['trees', 'drone photography', 'buildings', 'cars']"
img240.jpg,l0 l1 l85,"['people', 'trees', 'stroller']"
img104.jpg,l51,['plants']
img178.jpg,l1 l18 l2 l3 l74,"['trees', 'stairs', 'grass', 'building', 'outdoor gym']"
img297.jpg,l28 l3 l48 l6,"['the sculpture of kissing students', 'building', 'fountain', 'water']"
img290.jpg,l0 l11 l12 l35 l66 l7,"['people', 'bicycle', 'pavement', 'dog', 'chair', 'road']"
img294.jpg,l12 l24 l28 l48,"['pavement', 'town hall of tartu', 'the sculpture of kissing students', 'fountain']"
img158.jpg,l0 l38 l40 l6,"['people', 'barge', 'emajõe-peipsi barge jõmmu', 'water']"
img207.jpg,l1 l13 l2 l5 l7,"['trees', 'flowers', 'grass', 'buildings', 'road']"
img95.jpg,l0 l87 l80,"['people', 'stage', 'lights']"
img40.jpg,l1 l11 l12 l16 l76 l8,"['trees', 'bicycle', 'pavement', 'traffic sign', 'crosswalk', 'person']"
img162.jpg,l1 l20 l38 l40 l49 l6 l9,"['trees', 'bridge', 'barge', 'emajõe-peipsi barge jõmmu', 'river', 'water', 'cars']"
img46.jpg,l1 l15 l3 l30 l67 l7 l70 l9,"['trees', 'lamp posts', 'building', 'bench', 'traffic', 'road', 'leaves', 'cars']"
img269.jpg,l0 l66,"['people', 'chair']"
img117.jpg,l33 l6,"['children', 'water']"
img52.jpg,l1 l14 l15 l34 l5 l52 l9,"['trees', 'traffic signs', 'lamp posts', 'sunny', 'buildings', 'red bus', 'cars']"
img165.jpg,l1 l14 l2 l3 l7 l8,"['trees', 'traffic signs', 'grass', 'building', 'road', 'person']"
img21.jpg,l1 l18 l2 l21 l71,"['trees', 'stairs', 'grass', 'stone road', 'stair railings']"
img155.jpg,l14 l7 l56,"['traffic signs', 'road', 'fence']"
img213.jpg,l1 l12 l18 l2 l5 l9,"['trees', 'pavement', 'stairs', 'grass', 'buildings', 'cars']"
img26.jpg,l1 l18 l2 l21 l3 l43 l46,"['trees', 'stairs', 'grass', 'stone road', 'building', 'lamp post', 'bushes']"
img275.jpg,l8,['person']
img17.jpg,l1 l14 l53,"['trees', 'traffic signs', 'green garbage can']"
img134.jpg,l44,['glasses']
img96.jpg,l0 l24 l87,"['people', 'town hall of tartu', 'stage']"
img144.jpg,l0 l1 l3,"['people', 'trees', 'building']"
img77.jpg,l0 l11,"['people', 'bicycle']"
img199.jpg,l2 l65,"['grass', 'railroad']"
img245.jpg,l0 l1 l11 l12 l2 l3,"['people', 'trees', 'bicycle', 'pavement', 'grass', 'building']"
img185.jpg,l0 l1 l20 l26 l5 l7 l9,"['people', 'trees', 'bridge', 'estonian flag', 'buildings', 'road', 'cars']"
img143.jpg,l0 l1 l22 l31 l33 l54,"['people', 'trees', 'sand', 'playground', 'children', 'beach']"
img191.jpg,l0 l1 l2 l22 l30 l31 l5,"['people', 'trees', 'grass', 'sand', 'bench', 'playground', 'buildings']"
img217.jpg,l36 l47 l55,"['yellow leaves', 'autumn', 'benches']"
img88.jpg,l13 l60 l68,"['flowers', 'wedding', 'suit']"
img132.jpg,l8,['person']
img274.jpg,l13 l23 l8 l81,"['flowers', 'street', 'person', 'suitcase']"
img287.jpg,l22,['sand']
img29.jpg,l0 l16 l35,"['people', 'traffic sign', 'dog']"
img0.jpg,l0 l17 l4 l58 l63 l79,"['people', 'winter', 'snow', 'worker', 'plane', 'cone']"
img97.jpg,l0 l15 l24 l26 l39,"['people', 'lamp posts', 'town hall of tartu', 'estonian flag', 'flags']"
img278.jpg,l1 l4 l17 l45,"['trees', 'snow', 'winter', 'cloudy']"
img108.jpg,l13 l2 l51,"['flowers', 'grass', 'plants']"
img270.jpg,l84,['pencil']
